Size,Time(s)
2000000,0.605294
4000000,1.229619
6000000,1.578747
8000000,2.004676
10000000,2.587484
12000000,3.064854
14000000,3.858665
16000000,5.359327
18000000,9.068787
20000000,9.810785
22000000,11.032869
24000000,12.764491
26000000,14.215536
28000000,15.389843
30000000,12.951836
32000000,13.921559
34000000,16.206167
36000000,17.058085
38000000,19.328307
40000000,29.985546
42000000,23.160159
44000000,24.178842
46000000,25.876208
48000000,26.25077
50000000,26.249069
52000000,27.809725
54000000,37.687643
56000000,33.119633
58000000,38.056269
60000000,34.744141
